hms 69,1,3,3,1,2,1,1,0,0,5,1
beauty,6,4,1,2,1,3,4,1,2,6,5
sweety,3,2,0,0,0,2,3,2,1,3,2
double,2,1,2,3,3,0,0,0,0,2,6
emisis,7,5,4,0,0,4,2,0,0,4,3
bluefl,4,0,0,0,0,6,0,0,0,1,4
amoraz,5,6,0,0,0,0,0,0,0,0,0
