dyer  ,4,4,1,3,1,1,1,1,3,1,1,3,1,2
keller,3,1,4,2,4,3,2,2,2,5,3,1,3,4
edenfi,1,2,3,4,3,4,3,0,5,3,2,2,4,3
horton,0,0,2,1,5,2,0,0,4,2,4,4,2,1
bradle,2,3,5,5,2,5,4,3,1,4,5,5,0,0
