hort,0,0,0,0,1,1,1,1,3,1,1,2
dyer,2,3,2,2,4,2,0,0,1,2,3,3
kell,2,3,2,3,4,2,0,0,1,2,3,2
thor,4,4,1,2,2,4,4,5,2,4,4,4
meno,1,1,0,0,0,0,3,2,0,0,2,1
mitc,5,5,3,1,0,0,0,0,0,0,5,5
brad,0,0,0,0,3,3,0,4,4,3,0,0
winf,0,0,0,0,0,0,0,2,3,0,0,0
eden,3,2,0,0,0,0,0,0,0,0,0,0
roac,0,0,0,0,0,0,0,0,0,0,6,6
